Question,Answer,Intent
"What is your return policy?","Our return policy allows returns within 30 days of purchase.","return_policy"
"How can I track my order?","You can track your order using the tracking link in your email.","track_order"
"How do I track my order?","You can track your order by using the tracking number sent to your email.","track_order"
"Can you help me track my package?","Sure! You can track your package using the tracking number provided in your shipping confirmation email.","track_order"
"What are your store hours?","Our store is open Monday through Friday, 9 AM to 9 PM.","store_hours"
"What time does your store close?","Our store closes at 9 PM on weekdays and weekends.","store_hours"
"Do you offer international shipping?","Yes, we ship to most countries worldwide. Shipping rates may vary.","international_shipping"
"Can you ship to other countries?","Yes, we offer international shipping to many destinations.","international_shipping"
"How can I change my delivery address?","You can change your delivery address by contacting support before your order is shipped.","change_address"
"I need to update my shipping address. Can you help?","To change your address, contact us as soon as possible before your order is shipped.","change_address"
"How do I reset my password?","Click on 'Forgot Password' on the login page and follow the instructions.","reset_password"
"I forgot my password. What should I do?","Click 'Forgot Password' on the login page and follow the steps to reset your password.","reset_password"
"What payment methods do you accept?","We accept Visa, Mastercard, PayPal, and more.","payment_methods"
"Can I pay with PayPal?","Yes, we accept PayPal as a payment method.","payment_methods"
"Where is your company located?","Our headquarters are located in San Francisco, California.","company_location"
"Do you have an office in New York?","Currently, our main office is in San Francisco, but we are looking to expand.","company_location"
"Do you have a loyalty program?","Yes, join our loyalty program to earn points on every purchase.","loyalty_program"
"Can I earn rewards with purchases?","Yes, our loyalty program lets you earn points and redeem them for discounts and rewards.","loyalty_program"
"How can I cancel my order?","You can cancel your order from your account if it hasn't been shipped yet.","cancel_order"
"I changed my mind, how do I cancel my order?","If your order hasn't shipped, you can cancel it by contacting customer service immediately.","cancel_order"
"What is the warranty on this product?","This product comes with a one-year warranty.","product_warranty"
"Does this product come with a warranty?","Yes, this item includes a one-year warranty for repairs or replacements.","product_warranty"
"Do you have discounts for students?","Yes, we offer a 10% discount for students with a valid ID.","student_discount"
"Are there any student discounts available?","Yes, we provide a 10% discount on all items with a student ID.","student_discount"
"Can I get a refund?","Refunds are processed within 5–7 business days after approval.","refund_process"
"How long does it take to get a refund?","Refunds are processed within 5-7 business days. It may take longer depending on the payment method.","refund_process"
"Why is my order delayed?","Delays can happen due to high demand or carrier issues. Let me check your order.","order_delay"
"Why hasn’t my order arrived?","Sometimes, orders are delayed due to high demand or carrier issues. Let me check the status for you.","order_delay"
"How do I contact customer support?","You can contact us via email at support@example.com or call 1-800-123-4567.","contact_support"
"I need help. How can I reach customer service?","You can reach our customer service team by email at support@example.com or by phone at 1-800-123-4567.","contact_support"
"What is your privacy policy?","Our privacy policy can be viewed at example.com/privacy.","privacy_policy"
"Where can I read your privacy policy?","You can read our full privacy policy on our website at example.com/privacy.","privacy_policy"
"How do I unsubscribe from emails?","Click the 'Unsubscribe' link at the bottom of any email.","unsubscribe_email"
"Can I stop receiving emails from you?","Yes, you can unsubscribe from our emails by clicking the 'Unsubscribe' link in any email.","unsubscribe_email"
"Can I request a custom order?","Yes, custom orders are available for select products.","custom_order"
"How do I place a custom order?","Please contact our customer service team to inquire about placing a custom order.","custom_order"
"Are there any upcoming promotions?","Stay tuned to our website for upcoming promotions and sales.","upcoming_promotions"
"Will there be discounts for Black Friday?","We will have special offers and promotions for Black Friday. Stay tuned to our website for details.","upcoming_promotions"
"Can I modify my order after placing it?","Once an order is placed, we cannot modify it, but you may cancel it within a short time frame before it is processed. Please contact support immediately for assistance.","modify_order"
"Can I change my order after I’ve placed it?","Unfortunately, we cannot change an order after it's been placed, but you can cancel it within a short time frame.","modify_order"
